Adapted from Table 3 from https://iopscience.iop.org/article/10.3847/1538-4357/ab2f73
TRGB Calibrator Distances. Calibrated with LMC.
SN	Galaxy	mu_TRGB	sigma_mu TRGB	m_B^CSP	sigma_B^CSP	mu_Ceph	sigma_C	m_B^SC	sigma_B^SC	V_NED	TRGB_dis	TRGB_W
1981B	N4536	30.96	0.05	CCHP	11.64	0.04		30.91	0.05	11.62	0.12		1050	13.1	353.
1994ae	N3370	32.27	0.05	JL	12.94	0.05		32.07	0.05	12.92	0.12		1552	17.6	287.
1995al	N3021	32.22	0.05	JL	13.02	0.05		32.50	0.09	12.97	0.12		1886	14.6	291.
2001el	N1448	31.32	0.06	CCHP	12.30	0.04		31.31	0.04	12.20	0.12		1047	21.8	414.
2002fk	N1309	32.50	0.07	JL	13.33	0.04		32.52	0.06	13.20	0.12		1864	19.9	161.
2007af	N5584	31.82	0.1	JL	12.72	0.05		31.79	0.05	12.70	0.12		1983	12.1	215.
2007sr	N4038	31.68	0.05	JL	12.30	0.15		31.29	0.11	12.24	0.11		1702	61.8	294.
2011fe	M101	29.08	0.04	CCHP	9.82	0.03		29.14	0.04	9.75	0.12		455	23.3	194.
2012cg	N4424	31.00	0.06	CCHP	11.72	0.06		31.08	0.29	11.55	0.11		1050	10.7	95.
2012fr	N1365	31.36	0.05	CCHP	12.09	0.03		31.31	0.06	11.92	0.12		1302	29.8	404.
