Paper: Title..., arXiv:251X.XXXXX
Authors: Högås M., Mörtsell E., Desmond H., Riess A.
Table: I
================================================================================
Byte-by-byte description of file: Table_I.txt
--------------------------------------------------------------------------------
Format Units Label    Explanations
--------------------------------------------------------------------------------
A5     ---   Field    Observed field
F11.8  dex   Phi_low  Lower bound of external potential
F11.8  dex   Phi_mean Mean external potential
F11.8  dex   Phi_high Upper bound of external potential
F12.8  dex   a_low    Lower bound of external acceleration
F12.8  dex   a_mean   Mean external acceleration
F12.8  dex   a_high   Upper bound of external acceleration
F12.8  dex   K_low    Lower bound of external curvature
F12.8  dex   K_mean   Mean external curvature
F12.8  dex   K_high   Upper bound of external curvature
F4.1   Mpc   Rmax     Cutoff radius
--------------------------------------------------------------------------------
Field       Phi_low   Phi_mean   Phi_high      a_low     a_mean     a_high       K_low      K_mean      K_high   Rmax
MW         -8.13459   -8.10186   -7.98460  -15.47101  -15.47101  -15.24390   -55.18168   -55.18168   -54.92407    0.4
MW         -7.17619   -7.11031   -7.03258  -15.50283  -15.43570  -15.06776   -55.12629   -55.06870   -54.88683    1.4
MW         -6.37760   -6.25161   -6.16684  -15.47042  -15.40738  -15.05367   -55.09812   -55.06162   -54.88800    5.1
MW         -5.05243   -5.01439   -4.83746  -15.13284  -15.04541  -14.90973   -54.99160   -54.95923   -54.83115   18.1
MW         -4.19264   -4.16011   -4.10560  -14.63373  -14.55172  -14.46275   -54.90405   -54.87651   -54.77314   50.0
LMC        -8.13459   -8.10186   -7.98460  -15.47101  -15.47101  -15.24390   -55.18168   -55.18168   -54.92407    0.4
LMC        -7.17619   -7.11031   -7.03258  -15.50283  -15.43570  -15.06776   -55.12629   -55.06870   -54.88683    1.4
LMC        -6.37760   -6.25161   -6.16684  -15.47042  -15.40738  -15.05367   -55.09812   -55.06162   -54.88800    5.1
LMC        -5.05243   -5.01439   -4.83746  -15.13284  -15.04541  -14.90973   -54.99160   -54.95923   -54.83115   18.1
LMC        -4.19264   -4.16011   -4.10560  -14.63373  -14.55172  -14.46275   -54.90405   -54.87651   -54.77314   50.0
SMC        -8.13459   -8.10186   -7.98460  -15.47101  -15.47101  -15.24390   -55.18168   -55.18168   -54.92407    0.4
SMC        -7.17619   -7.11031   -7.03258  -15.50283  -15.43570  -15.06776   -55.12629   -55.06870   -54.88683    1.4
SMC        -6.37760   -6.25161   -6.16684  -15.47042  -15.40738  -15.05367   -55.09812   -55.06162   -54.88800    5.1
SMC        -5.05243   -5.01439   -4.83746  -15.13284  -15.04541  -14.90973   -54.99160   -54.95923   -54.83115   18.1
SMC        -4.19264   -4.16011   -4.10560  -14.63373  -14.55172  -14.46275   -54.90405   -54.87651   -54.77314   50.0
N4258      -8.20234   -8.18763   -8.05972  -15.03720  -14.99419  -14.87299   -54.97918   -54.79423   -54.70672    0.4
N4258      -6.78816   -6.68095   -6.41047  -15.10449  -15.04273  -14.91536   -54.82536   -54.72541   -54.61011    1.4
N4258      -5.78954   -5.73093   -5.65403  -15.02214  -14.96469  -14.85175   -54.74616   -54.66901   -54.55799    5.1
N4258      -4.74686   -4.68366   -4.58952  -14.64147  -14.59657  -14.49399   -54.69030   -54.58470   -54.52138   18.1
N4258      -4.15473   -4.11592   -4.09770  -14.43057  -14.38761  -14.35180   -54.65625   -54.56516   -54.52013   50.0
M31        -8.13459   -8.10186   -7.98460  -15.47101  -15.47101  -15.24390   -55.18168   -55.18168   -54.92407    0.4
M31        -7.17619   -7.11031   -7.03258  -15.50283  -15.43570  -15.06776   -55.12629   -55.06870   -54.88683    1.4
M31        -6.37760   -6.25161   -6.16684  -15.47042  -15.40738  -15.05367   -55.09812   -55.06162   -54.88800    5.1
M31        -5.05243   -5.01439   -4.83746  -15.13284  -15.04541  -14.90973   -54.99160   -54.95923   -54.83115   18.1
M31        -4.19264   -4.16011   -4.10560  -14.63373  -14.55172  -14.46275   -54.90405   -54.87651   -54.77314   50.0
M101       -8.38794   -8.28564   -8.20638  -15.32268  -15.07217  -15.00115   -55.11983   -55.11983   -54.93039    0.4
M101       -7.18860   -7.13499   -7.05949  -15.26059  -15.18000  -15.05494   -55.05222   -54.98427   -54.91891    1.4
M101       -5.95169   -5.91417   -5.81993  -15.13905  -15.09175  -15.00046   -55.01198   -54.98350   -54.85096    5.1
