Source	Data
M101	23.6914
M101	22.9545
M101	23.5352
M101	23.4527
M101	23.7464
M101	23.8682
M101	23.7039
M101	23.6505
M101	23.9037
M101	23.6497
M101	23.3469
M101	23.2885
M101	23.0895
M101	23.387
M101	23.5164
M101	23.4303
M101	23.4655
M101	23.9913
M101	23.0517
M101	22.9155
M101	23.3025
M101	23.2439
M101	22.6102
M101	22.8044
M101	22.4006
M101	23.1889
M101	22.9602
M101	23.4137
M101	23.5213
M101	23.4132
M101	22.9714
M101	22.2154
M101	22.7033
M101	22.7981
M101	23.1672
M101	22.9121
M101	23.1409
M101	23.3719
M101	22.7191
M101	23.5237
M101	23.5973
M101	22.6113
M101	22.8105
M101	22.3062
M101	22.7863
M101	23.1865
M101	22.7586
M101	23.2997
M101	23.6708
M101	23.046
M101	22.2968
M101	22.0415
M101	22.8634
M101	22.2645
M101	23.3439
M101	22.531
M101	23.4433
M101	23.1621
M101	22.902
M101	22.5191
M101	23.149
M101	22.5961
M101	23.2305
M101	22.8065
M101	22.597
M101	22.6811
M101	22.5783
M101	22.6899
M101	22.681
M101	22.749
M101	22.4093
M101	23.2438
M101	22.0801
M101	22.5728
M101	22.8394
M101	22.7815
M101	22.5075
M101	22.2779
M101	22.371
M101	22.8305
M101	23.3549
M101	22.5801
M101	23.0722
M101	22.8094
M101	22.9252
M101	22.9146
M101	22.916
M101	22.4973
M101	22.6343
M101	22.7544
M101	22.8628
M101	22.6315
M101	23.4274
M101	22.158
M101	22.3076
M101	22.376
M101	22.4904
M101	22.1483
M101	22.0921
M101	21.6694
M101	22.8734
M101	22.4703
M101	22.5633
M101	22.3705
M101	22.2533
M101	22.1186
M101	22.1913
M101	21.9047
M101	22.4214
M101	21.943
M101	22.653
M101	21.7955
M101	22.5276
M101	22.7232
M101	21.8591
M101	22.3257
M101	22.0048
M101	22.6127
M101	21.9161
M101	22.0302
M101	22.0307
M101	21.9698
M101	21.7109
M101	22.3426
M101	21.5648
M101	22.2951
M101	21.9169
M101	22.2267
M101	22.5666
M101	21.8601
M101	22.2964
M101	21.6203
M101	22.2732
M101	22.0765
M101	22.531
M101	21.4987
M101	21.8207
M101	21.9235
M101	22.8295
M101	21.9263
M101	21.8533
M101	21.7856
M101	21.736
M101	21.9774
M101	22.2942
M101	21.6034
M101	21.4587
M101	21.6978
M101	23.806
M101	23.618
M101	24.5947
M101	24.1173
M101	23.6596
M101	23.9667
M101	23.1796
M101	24.2294
M101	23.925
M101	24.0837
M101	23.6494
M101	23.9281
M101	23.2682
M101	23.2049
M101	22.9019
M101	23.3648
M101	23.3612
M101	22.9808
M101	23.7738
M101	23.133
M101	22.9181
M101	22.2325
M101	22.9032
M101	22.7977
M101	22.9273
M101	22.7825
M101	22.4504
M101	23.0417
M101	22.7098
M101	22.8507
M101	22.1663
M101	23.2932
M101	23.0257
M101	23.2054
M101	22.4844
M101	23.1254
M101	23.3155
M101	23.6735
M101	23.6238
M101	23.3999
M101	23.1092
M101	23.3565
M101	22.7863
M101	22.5327
M101	22.9333
M101	22.8749
M101	22.5597
M101	23.031
M101	23.7767
M101	23.0302
M101	22.7289
M101	22.8256
M101	22.3188
M101	22.8414
M101	23.0354
M101	22.7394
M101	22.7434
M101	22.2616
M101	22.0271
M101	22.2014
M101	22.3869
M101	22.2666
M101	22.8652
M101	23.295
M101	22.2673
M101	23.0884
M101	22.8511
M101	22.655
M101	22.7864
M101	22.5435
M101	23.1955
M101	23.0801
M101	22.0338
M101	22.5789
M101	22.6971
M101	22.097
M101	22.6284
M101	21.8955
M101	22.0942
M101	22.4413
M101	22.8627
M101	22.7878
M101	22.3588
M101	22.0784
M101	22.5768
M101	22.5229
M101	22.0343
M101	22.4502
M101	22.0579
M101	22.5309
M101	22.3629
M101	22.2192
M101	22.4189
M101	21.9186
M101	22.2529
M101	21.8879
M101	22.2608
M101	21.8846
M101	21.9362
M101	21.8689
M101	22.2056
M101	22.4811
M101	21.8676
M101	21.8293
M101	22.1661
M101	21.6987
M101	22.1679
M101	22.1326
M101	22.0298
M101	21.735
M101	21.8122
M1337	26.0332
M1337	25.9087
M1337	24.6057
M1337	24.4164
M1337	24.647
M1337	23.3176
M1337	23.2084
M1337	24.4722
M1337	25.5216
M1337	23.865
M1337	25.0028
M1337	24.5957
M1337	25.5442
M1337	24.5514
M1337	24.7179
N0691	25.2907
N0691	25.0969
N0691	24.4746
N0691	24.2774
N0691	24.5686
N0691	25.0918
N0691	24.6058
N0691	25.3457
N0691	24.2303
N0691	24.9561
N0691	24.9502
N0691	24.8633
N0691	24.8119
N0691	23.9086
N0691	23.7564
N0691	24.039
N0691	25.0086
N0691	24.9844
N0691	24.9416
N0691	26.3288
N0691	24.5859
N0691	24.0183
N0691	25.7834
N0691	24.3481
N0691	24.4598
N0691	24.9529
N0691	24.1613
N0691	25.2881
N1015	24.6483
N1015	24.681
N1015	23.6014
N1015	25.6527
N1015	23.581
N1015	24.3717
N1015	24.4865
N1015	25.0965
N1015	23.9247
N1015	23.5279
N1015	24.2957
N1015	24.0294
N1015	24.0974
N1015	25.2872
N1015	25.3528
N1015	25.1153
N1015	23.496
N1015	24.9141
N105A	26.3375
N105A	28.1859
N105A	27.4582
N105A	26.9909
N105A	27.0049
N105A	25.4323
N105A	26.4305
N105A	25.7769
N1309	25.2181
N1309	24.7356
N1309	24.8832
N1309	24.6817
N1309	24.9967
N1309	25.3291
N1309	25.4056
N1309	24.3888
N1309	24.6355
N1309	23.5937
N1309	24.6413
N1309	24.2708
N1309	24.7643
N1309	24.0688
N1309	24.7623
N1309	23.9579
N1309	24.4392
N1309	23.5258
N1309	24.242
N1309	25.0754
N1309	24.5497
N1309	24.7711
N1309	23.7207
N1309	24.1528
N1309	24.6087
N1309	24.0572
N1309	24.3997
N1309	25.2847
N1309	23.902
N1309	24.8379
N1309	24.4474
N1309	24.5308
N1309	24.2697
N1309	24.6924
N1309	24.1391
N1309	24.1179
N1309	23.9849
N1309	23.6776
N1309	24.08
N1309	23.9317
N1309	23.074
N1309	23.593
N1309	24.5228
N1309	24.125
N1309	24.0729
N1309	24.0105
N1309	24.0972
N1309	23.9809
N1309	24.2719
N1309	24.1099
N1309	23.3989
N1309	23.6979
N1309	24.1541
N1365	25.1206
N1365	24.6087
N1365	24.2657
N1365	24.4346
N1365	24.7755
N1365	25.0218
N1365	24.3348
N1365	25.4066
N1365	23.3131
N1365	24.2433
N1365	24.8413
N1365	24.5725
N1365	24.0649
N1365	24.5276
N1365	23.5153
N1365	24.0749
N1365	23.8078
N1365	23.8709
N1365	23.9502
N1365	23.9966
N1365	24.0618
N1365	24.4725
N1365	23.5928
N1365	24.3678
N1365	23.8284
N1365	24.1792
N1365	23.9208
N1365	23.4843
N1365	23.9443
N1365	23.8546
N1365	24.1642
N1365	23.7246
N1365	24.2188
N1365	23.0384
N1365	23.8091
N1365	23.1648
N1365	23.8921
N1365	22.662
N1365	23.9638
N1365	23.5185
N1365	22.9475
N1365	23.6874
N1365	22.7088
N1365	23.5878
N1365	23.2077
N1365	22.9602
N1448	24.2035
N1448	23.5039
N1448	23.4074
N1448	23.4273
N1448	23.9495
N1448	24.6096
N1448	23.8431
N1448	24.0824
N1448	24.2168
N1448	23.6447
N1448	23.1799
N1448	24.1642
N1448	23.1024
N1448	24.8365
N1448	24.0372
N1448	23.1834
N1448	23.6733
N1448	24.7989
N1448	23.6038
N1448	24.5618
N1448	23.6928
N1448	24.4829
N1448	24.7081
N1448	23.127
N1448	25.1328
N1448	24.5217
N1448	23.0751
N1448	24.1911
N1448	23.7743
N1448	23.6794
N1448	22.1498
N1448	24.7801
N1448	23.6149
N1448	22.3921
N1448	24.102
N1448	22.8444
N1448	23.3849
N1448	23.9064
N1448	23.3782
N1448	22.9841
N1448	25.1892
N1448	23.2509
N1448	23.076
N1448	22.4228
N1448	23.9408
N1448	23.1585
N1448	25.3812
N1448	23.9191
N1448	24.5897
N1448	23.6307
N1448	22.9757
N1448	22.6799
N1448	23.3772
N1448	22.0123
N1448	23.782
N1448	23.6769
N1448	23.0481
N1448	24.6161
N1448	24.1096
N1448	23.9476
N1448	23.8734
N1448	24.591
N1448	24.1807
N1448	22.6488
N1448	23.3317
N1448	23.5441
N1448	24.7277
N1448	22.8586
N1448	23.6932
N1448	22.911
N1448	21.7497
N1448	24.8192
N1448	24.5915
N1559	23.7041
N1559	23.3972
N1559	23.1625
N1559	24.3987
N1559	24.4765
N1559	26.0709
N1559	24.7977
N1559	23.0439
N1559	24.5757
N1559	23.7319
N1559	24.1351
N1559	23.6079
N1559	23.9011
N1559	23.4591
N1559	23.0022
N1559	22.7115
N1559	22.437
N1559	24.6563
N1559	22.9361
N1559	23.5832
N1559	23.6909
N1559	24.3566
N1559	24.3207
N1559	24.2825
N1559	25.5574
N1559	23.1043
N1559	23.2392
N1559	23.8522
N1559	24.5131
N1559	24.1509
N1559	24.2522
N1559	25.3639
N1559	24.5597
N1559	23.6663
N1559	24.5613
N1559	25.0794
N1559	22.6959
N1559	24.2788
N1559	24.1254
N1559	25.2812
N1559	24.5837
N1559	23.9101
N1559	24.4796
N1559	23.9346
N1559	23.6507
N1559	25.0453
N1559	25.1121
N1559	23.3886
N1559	24.484
N1559	23.6221
N1559	23.1312
N1559	24.2442
N1559	24.7081
N1559	24.4684
N1559	23.7327
N1559	24.9086
N1559	22.5738
N1559	23.1234
N1559	24.4851
N1559	23.5153
N1559	22.7653
N1559	24.2921
N1559	24.6227
N1559	23.5246
N1559	22.8122
N1559	23.5244
N1559	23.3228
N1559	25.5608
N1559	22.6373
N1559	24.0325
N1559	24.7421
N1559	22.4573
N1559	22.7838
N1559	22.4961
N1559	23.543
N1559	22.3379
N1559	24.1157
N1559	24.0304
N1559	24.299
N1559	23.5632
N1559	23.8478
N1559	25.1137
N1559	24.4411
N1559	25.4067
N1559	24.4439
